tt1478338,Bridesmaids,"Comedy, Romance"
tt0830515,Quantum of Solace,"Action, Adventure, Thriller"
tt0486946,Wild Hogs,"Action, Adventure, Comedy"
tt3731562,Kong: Skull Island,"Action, Adventure, Fantasy"
tt0094137,3 Men and a Baby,"Comedy, Drama, Family"
tt2267998,Gone Girl,"Drama, Mystery, Thriller"
tt5220122,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy"
tt0381061,Casino Royale,"Action, Adventure, Thriller"
tt0212338,Meet the Parents,"Comedy, Romance"
tt2322441,Fifty Shades of Grey,"Drama, Romance, Thriller"
tt1190080,2012,"Action, Adventure, Sci-Fi"
tt0102798,Robin Hood: Prince of Thieves,"Action, Adventure, Drama"
tt8946378,Knives Out,"Comedy, Crime, Drama"
tt1302011,Kung Fu Panda 2,"Animation, Action, Adventure"
tt0212985,Hannibal,"Crime, Drama, Thriller"
tt0264464,Catch Me If You Can,"Biography, Crime, Drama"
tt1041829,The Proposal,"Comedy, Drama, Romance"
tt0454921,The Pursuit of Happyness,"Biography, Drama"
tt0142342,Big Daddy,"Comedy, Drama"
tt0800320,Clash of the Titans,"Action, Adventure, Fantasy"
tt2279373,The SpongeBob Movie: Sponge Out of Water,"Animation, Action, Adventure"
tt0103776,Batman Returns,"Action, Crime, Fantasy"
tt1853728,Django Unchained,"Drama, Western"
tt0120623,A Bug's Life,"Animation, Adventure, Comedy"
tt4196776,Jason Bourne,"Action, Thriller"
tt1375670,Grown Ups,Comedy
tt0120484,The Waterboy,"Comedy, Sport"
tt1667889,Ice Age: Continental Drift,"Animation, Adventure, Comedy"
tt1398426,Straight Outta Compton,"Biography, Drama, History"
tt0246460,Die Another Day,"Action, Adventure, Thriller"
tt0307453,Shark Tale,"Animation, Adventure, Comedy"
tt2386490,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure"
tt2404463,The Heat,"Action, Comedy, Crime"
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy"
tt1502407,Halloween,"Crime, Horror, Thriller"
tt0059742,The Sound of Music,"Biography, Drama, Family"
tt8579674,1917,"Drama, War"
tt5113040,The Secret Life of Pets 2,"Animation, Adventure, Comedy"
tt2660888,Star Trek Beyond,"Action, Adventure, Sci-Fi"
tt0106918,The Firm,"Drama, Mystery, Thriller"
tt0398165,The Longest Yard,"Comedy, Crime, Sport"
tt0120903,X-Men,"Action, Adventure, Sci-Fi"
tt0175142,Scary Movie,Comedy
tt0093010,Fatal Attraction,"Drama, Thriller"
tt0096438,Who Framed Roger Rabbit,"Animation, Adventure, Comedy"
tt0070735,The Sting,"Comedy, Crime, Drama"
tt0161081,What Lies Beneath,"Drama, Fantasy, Horror"
tt3385516,X-Men: Apocalypse,"Action, Adventure, Sci-Fi"
tt0120616,The Mummy,"Action, Adventure, Fantasy"
tt1735898,Snow White and the Huntsman,"Action, Adventure, Drama"
tt2126355,San Andreas,"Action, Adventure, Drama"
tt1013752,Fast & Furious,"Action, Thriller"
tt0327084,Over the Hedge,"Animation, Adventure, Comedy"
tt0120667,Fantastic Four,"Action, Adventure, Fantasy"
tt0451079,Horton Hears a Who!,"Animation, Adventure, Comedy"
tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi"
tt0116695,Jerry Maguire,"Comedy, Drama, Romance"
tt1679335,Trolls,"Animation, Adventure, Comedy"
tt0092644,Beverly Hills Cop II,"Action, Comedy, Crime"
tt0087363,Gremlins,"Comedy, Fantasy, Horror"
tt0267913,Scooby-Doo,"Adventure, Comedy, Family"
tt3606752,Cars 3,"Animation, Adventure, Comedy"
tt1000774,Sex and the City,"Comedy, Drama, Romance"
tt0163187,Runaway Bride,"Comedy, Romance"
tt3783958,La La Land,"Comedy, Drama, Music"
tt1840309,Divergent,"Action, Adventure, Mystery"
tt0089880,Rambo: First Blood Part II,"Action, Adventure, Thriller"
tt1723121,We're the Millers,"Comedy, Crime"
tt0181852,Terminator 3: Rise of the Machines,"Action, Sci-Fi"
tt1528854,Daddy's Home,"Comedy, Family"
tt1046173,G.I. Joe: The Rise of Cobra,"Action, Adventure, Sci-Fi"
tt2004420,Neighbors,Comedy
tt1800241,American Hustle,"Crime, Drama"
tt0448694,Puss in Boots,"Animation, Adventure, Comedy"
tt1707386,Les Misérables,"Drama, History, Musical"
tt0478311,Knocked Up,"Comedy, Romance"
tt0119822,As Good as It Gets,"Comedy, Drama, Romance"
tt0970866,Little Fockers,"Comedy, Romance"
tt1001526,Megamind,"Animation, Action, Comedy"
tt0837562,Hotel Transylvania,"Animation, Comedy, Family"
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport"
tt1205489,Gran Torino,Drama
tt0097733,Lethal Weapon 2,"Action, Crime, Thriller"
tt3450958,War for the Planet of the Apes,"Action, Adventure, Drama"
tt1270798,X: First Class,"Action, Adventure, Sci-Fi"
tt1114740,Paul Blart: Mall Cop,"Action, Comedy, Crime"
tt0111503,True Lies,"Action, Comedy, Thriller"
tt3794354,Sonic the Hedgehog,"Action, Adventure, Comedy"
tt0275847,Lilo & Stitch,"Animation, Adventure, Comedy"
tt4779682,The Meg,"Action, Horror, Sci-Fi"
tt0252866,American Pie 2,Comedy
tt0936501,Taken,"Action, Thriller"
tt0055254,One Hundred and One Dalmatians,"Animation, Adventure, Comedy"
tt1343092,The Great Gatsby,"Drama, Romance"
tt0111070,The Santa Clause,"Comedy, Drama, Family"
tt0343818,"I, Robot","Action, Drama, Sci-Fi"
tt0104714,Lethal Weapon 3,"Action, Crime, Thriller"
tt0232500,The Fast and the Furious,"Action, Crime, Thriller"
tt0795421,Mamma Mia!,"Comedy, Musical, Romance"
tt0118998,Doctor Dolittle,"Comedy, Family, Fantasy"
tt5884052,Pokémon: Detective Pikachu,"Action, Adventure, Comedy"
tt1436562,Rio,"Animation, Adventure, Comedy"
tt2267968,Kung Fu Panda 3,"Animation, Action, Adventure"
