imdb_movies
id,title,genre
tt0011837,Das wandernde Bild,Romance
tt0011841,Agonia sui ghiacci,"Drama, Romance"
tt0011865,Why Change Your Wife?,"Comedy, Drama"
tt0011870,Within Our Gates,"Drama, Romance"
tt0011904,The Ace of Hearts,"Crime, Drama, Mystery"
tt0011908,Adventures of Tarzan,"Action, Adventure"
tt0011909,"Fragilità, sei femmina!","Comedy, Drama"
tt0011948,Be My Wife,Comedy
tt0011960,Lo scoiattolo,"Comedy, Drama, Romance"
tt0011979,The Blot,"Drama, Romance"
tt0012016,Buried Treasure,"Adventure, Fantasy, Romance"
tt0012027,Camille,"Drama, Romance"
tt0012068,La commedia umana,"Drama, Romance"
tt0012122,Dream Street,"Comedy, Drama, Romance"
tt0012125,Ducks and Drakes,"Comedy, Romance"
tt0012134,Eldorado,Drama
tt0012136,Enchantment,Comedy
tt0012187,Forbidden Fruit,Drama
tt0012190,I quattro cavalieri dell'Apocalisse,"Drama, Romance, War"
tt0012249,Amleto,Drama
tt0012281,Hintertreppe,Drama
tt0012313,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,"Adventure, Fantasy"
tt0012314,Das indische Grabmal erster Teil - Die Sendung des Yoghi,"Adventure, Fantasy"
tt0012334,Johan,Drama
tt0012349,Il monello,"Comedy, Drama, Family"
tt0012364,Il carrettiere della morte,"Drama, Fantasy, Horror"
tt0012382,Leap Year,Comedy
tt0012397,Little Lord Fauntleroy,Drama
tt0012408,The Love Light,Drama
tt0012465,Miss Lulu Bett,"Comedy, Drama"
tt0012486,My Boy,"Comedy, Drama"
tt0012494,Destino,"Drama, Fantasy, Thriller"
tt0012513,The Nut,"Action, Comedy, Romance"
tt0012532,Le due orfanelle,"Drama, History, Romance"
tt0012538,Outside the Law,"Crime, Romance, Thriller"
tt0012631,Rojô no reikion,Drama
tt0012642,A Sailor-Made Man,Comedy
tt0012645,Sappho,Drama
tt0012650,Scherben,Drama
tt0012651,Il castello di Vogelod,"Crime, Drama, Horror"
tt0012675,Lo sceicco,"Adventure, Drama, Romance"
tt0012699,The Sky Pilot,Drama
tt0012745,La terre,Drama
tt0012752,The Three Musketeers,"Action, Adventure, Romance"
tt0012755,Through the Back Door,"Comedy, Drama"
tt0012763,La pazienza di Davide,Drama
tt0012769,Too Wise Wives,Drama
tt0012806,Vier um die Frau,Drama
tt0012928,Beauty's Worth,"Drama, Romance"
tt0012938,L'età di amare,"Drama, Romance"
tt0012952,Sangue e arena,"Drama, Romance, Sport"
tt0012973,La terra che brucia,Drama
tt0012975,The Bride's Play,Romance
tt0013033,Crainquebille,Drama
tt0013059,Der var engang,"Drama, Family, Fantasy"
tt0013075,Dr. Jack,"Comedy, Romance"
tt0013085,Down to the Sea in Ships,"Adventure, Drama, Romance"
tt0013122,La femme de nulle part,Drama
tt0013134,Flesh and Blood,Drama
tt0013140,Femmine folli,"Drama, Thriller"
tt0013169,Gli stigmatizzati,Drama
tt0013201,Il talismano della nonna,"Comedy, Family"
tt0013223,The Headless Horseman,"Comedy, Drama, Horror"
tt0013332,Lorna Doone,"Drama, Romance"
tt0013367,The Man from Beyond,Mystery
tt0013372,Manslaughter,Drama
tt0013386,Donne viennesi,Drama
tt0013402,Monte Cristo,"Drama, Romance"
tt0013404,Moran of the Lady Letty,Adventure
tt0013428,Nathan il saggio,"Drama, History"
tt0013442,Nosferatu - Il vampiro,"Fantasy, Horror"
tt0013450,Oliver Twist,Drama
tt0013469,Othello,"Drama, Romance"
tt0013496,Fantasma,"Drama, Romance"
tt0013515,The Prisoner of Zenda,"Adventure, Romance"
tt0013556,Robin Hood,"Adventure, Family, Romance"
tt0013571,Salomé,"Biography, Drama, History"
tt0013574,Saturday Night,"Comedy, Romance"
tt0013579,Ombre ammonitrici,"Drama, Fantasy, Horror"
tt0013590,The Seventh Day,"Drama, Romance"
tt0013592,Shadows,Drama
tt0013597,Sherlock Holmes,"Drama, Mystery"
tt0013607,Sky High,"Action, Drama, Romance"
tt0013619,Sodom und Gomorrha,Drama
tt0013662,Tess of the Storm Country,"Drama, Romance"
tt0013674,The Three Must-Get-Theres,"Action, Adventure, Comedy"
tt0013688,The Toll of the Sea,"Drama, Family, Fantasy"
tt0013704,The Trap,Drama
tt0013705,Trapped by the Mormons,"Drama, Crime"
tt0013741,Das Weib des Pharao,"Drama, History"
tt0013750,When Knighthood Was in Flower,"Romance, Drama"
tt0013802,The Young Rajah,"Romance, Drama"
tt0013830,Das alte Gesetz,Drama
tt0013909,Ladro d'amore,Drama
tt0013933,Cuore fedele,"Drama, Romance"
tt0013951,I pionieri,"Adventure, Romance, Western"
tt0014029,The Extra Girl,"Comedy, Romance"
tt0014108,Il vecchio castello,Drama
tt0014109,La leggenda di Gosta Berlings,"Drama, Romance"
tt0014112,Haldane of the Secret Service,"Adventure, Crime, Drama"
tt0014142,Il gobbo di Notre Dame,"Drama, Horror, Romance"
tt0014205,Little Old New York,"Comedy, Romance"
tt0014341,Accidenti che ospitalità!,"Comedy, Romance, Thriller"
tt0014358,Il pellegrino,Comedy
tt0014397,Raskolnikow,Drama
tt0014416,Rosita,"Romance, Comedy"
tt0014417,La rosa sulle rotaie,Drama
tt0014429,Preferisco l'ascensore,"Action, Comedy, Thriller"
tt0014440,Scaramouche,"Drama, Romance"
tt0014446,Il tesoro,"Drama, Romance"
tt0014463,The Shock,Drama
tt0014497,Souls for Sale,"Comedy, Drama, Romance"
tt0014516,Die Straße,Drama
tt0014524,La notte di San Silvestro,Drama
tt0014532,I dieci comandamenti,"Biography, Drama, Fantasy"
tt0014538,"Senti, amore mio",Comedy
tt0014586,Das Wachsfigurenkabinett,"Fantasy, Horror"
tt0014604,The White Rose,"Drama, Romance"
tt0014605,La suora bianca,"Drama, Romance"
tt0014606,White Tiger,"Crime, Drama, Mystery"
tt0014611,Perché preoccuparsi?,"Adventure, Comedy, Family"
tt0014624,La donna di Parigi,"Drama, Romance"
tt0014636,Zaza,"Romance, Drama"
tt0014646,Aelita,"Adventure, Comedy, Drama"
tt0014672,America,"Drama, History, War"
tt0014702,Beau Brummel,"Drama, History, Romance"
tt0014721,Black Oxen,"Drama, Romance, Sci-Fi"
tt0014760,Captain January,Drama
tt0014770,The Chechahcos,"Adventure, Drama"
tt0014826,Dante's Inferno,"Drama, Horror, Romance"
tt0014854,Dorothy Vernon of Haddon Hall,"Drama, History, Romance"
tt0014869,The Enchanted Cottage,Drama
tt0014874,The Family Secret,Drama
tt0014898,La fille de l'eau,"Drama, Romance"
tt0014900,Finanze del granduca,Comedy
tt0014925,La zarina,Comedy
tt0014945,Tutte e nessuna,"Comedy, Romance"
tt0014972,Quello che prende gli schiaffi,"Drama, Romance, Thriller"
tt0014982,Her Night of Romance,"Comedy, Romance"
tt0015002,Il re degli scapoli,Comedy
tt0015014,Futurismo,"Adventure, Drama, Mystery"
tt0015016,Il cavallo d'acciaio,"History, Romance, Western"
tt0015018,Isn't Life Wonderful,"Drama, Romance"
tt0015022,Janice Meredith,"Drama, History, Romance"
tt0015036,Kean,Drama
tt0015064,L'ultima risata,Drama
tt0015116,Manhandled,"Drama, Comedy"
tt0015119,Matrimonio in quattro,Comedy
tt0015136,Michael,"Drama, Romance"
tt0015145,Monsieur Beaucaire,"Drama, Romance"
tt0015163,Il navigatore,"Action, Comedy, Romance"
tt0015167,Le straordinarie avventure di mr. West nel paese dei bolscevichi,Comedy
tt0015174,I Nibelunghi: La vendetta di Crimilde,"Adventure, Drama, Fantasy"
tt0015175,I Nibelunghi: Sigfrido,"Adventure, Drama, Fantasy"
tt0015200,Open All Night,Comedy
tt0015202,Orlacs Hände,"Crime, Horror, Mystery"
tt0015213,Papirosnitsa ot Mosselproma,"Comedy, Romance"
tt0015214,Paris qui dort,Sci-Fi
tt0015224,Peter Pan,"Adventure, Fantasy, Family"
tt0015268,The Red Lily,Drama
tt0015289,Romola,"Drama, History"
