2660888,Star Trek Beyond,"Action, Adventure, Sci-Fi"
0106918,The Firm,"Drama, Mystery, Thriller"
0398165,The Longest Yard,"Comedy, Crime, Sport"
0120903,X-Men,"Action, Adventure, Sci-Fi"
0175142,Scary Movie,Comedy
0093010,Fatal Araction,"Drama, Thriller"
0096438,Who Framed Roger Rabbit,"Animation, Adventure, Comedy"
0070735,The Sting,"Comedy, Crime, Drama"
0161081,What Lies Beneath,"Drama, Fantasy, Horror"
3385516,X-Men: Apocalypse,"Action, Adventure, Sci-Fi"
0120616,The Mummy,"Action, Adventure, Fantasy"
1735898,Snow White and the Huntsman,"Action, Adventure, Drama"
2126355,San Andreas,"Action, Adventure, Drama"
1013752,Fast & Furious,"Action, Thriller"
0327084,Over the Hedge,"Animation, Adventure, Comedy"
0120667,Fantastic Four,"Action, Adventure, Fantasy"
0451079,Horton Hears a Who!,"Animation, Adventure, Comedy"
1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi"
0116695,Jerry Maguire,"Comedy, Drama, Romance"
1679335,Trolls,"Animation, Adventure, Comedy"
0092644,Beverly Hills Cop II,"Action, Comedy, Crime"
0087363,Gremlins,"Comedy, Fantasy, Horror"
0267913,Scooby-Doo,"Adventure, Comedy, Family"
3606752,Cars 3,"Animation, Adventure, Comedy"
1000774,Sex and the City,"Comedy, Drama, Romance"
0163187,Runaway Bride,"Comedy, Romance"
3783958,La La Land,"Comedy, Drama, Music"
1840309,Divergent,"Action, Adventure, Mystery"
0089880,Rambo: First Blood Part II,"Action, Adventure, Thriller"
1723121,We're the Millers,"Comedy, Crime"
0181852,Terminator 3: Rise of the Machines,"Action, Sci-Fi"
1528854,Daddy's Home,"Comedy, Family"
1046173,G.I. Joe: The Rise of Cobra,"Action, Adventure, Sci-Fi"
2004420,Neighbors,Comedy
1800241,American Hustle,"Crime, Drama"
0448694,Puss in Boots,"Animation, Adventure, Comedy"
1707386,Les Misérables,"Drama, History, Musical"
0478311,Knocked Up,"Comedy, Romance"
0119822,As Good as It Gets,"Comedy, Drama, Romance"
0970866,Lile Fockers,"Comedy, Romance"
1001526,Megamind,"Animation, Action, Comedy"
0837562,Hotel Transylvania,"Animation, Comedy, Family"
0415306,Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport"
1205489,Gran Torino,Drama
0097733,Lethal Weapon 2,"Action, Crime, Thriller"
3450958,War for the Planet of the Apes,"Action, Adventure, Drama"
1270798,X: First Class,"Action, Adventure, Sci-Fi"
1114740,Paul Blart: Mall Cop,"Action, Comedy, Crime"
0111503,True Lies,"Action, Comedy, Thriller"
3794354,Sonic the Hedgehog,"Action, Adventure, Comedy"
0275847,Lilo & Stitch,"Animation, Adventure, Comedy"
4779682,The Meg,"Action, Horror, Sci-Fi"
0252866,American Pie 2,Comedy
0936501,Taken,"Action, Thriller"
0055254,One Hundred and One Dalmatians,"Animation, Adventure, Comedy"
